Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
1.0,2.0,8.0,7.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,,,1051.1999999999998,3.0,,4.0,4.0,3.0,1.0,1.0,3.0,11.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,,,3.0,,,3.0,2018-11
2.0,2.0,5.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,명동/남대문/북창,동대문 패션타운,1312.25,3.0,,5.0,4.0,1.0,1.0,1.0,3.0,12.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,,3.0,,,2.0,2018-12
1.0,4.0,13.0,10.0,4.0,8.0,5.0,1.0,,,,,,,8.0,,,,,,,,,,신촌/홍대주변,명동/남대문/북창,강남역,250.344108,1.0,,2.0,2.0,1.0,1.0,2.0,4.0,1.0,97.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,,,3.0,,,1.0,2018-01
20.0,,,,11.0,1.0,2.0,1.0,,,,,,,8.0,,,,,,,,,,명동/남대문/북창,수원 화성,"평택시 송탄 (국제 중앙시장, 신장 쇼핑몰)",6512.3618400000005,4.0,,5.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,5.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,1.0,,,,,2.0,2018-02
10.0,2.0,5.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,가로수길,명동/남대문/북창,동대문 패션타운,3564.825,2.0,,5.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,2.0,2018-04
1.0,,,,1.0,,,,,,,,,,8.0,,,,,,,,,,부천 (웅진 플레이 도시),,,1258.4,3.0,,4.0,4.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,,,3.0,,,3.0,2018-05
10.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,명동/남대문/북창,,5664.96,3.0,,5.0,4.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,2.0,,,,2.0,2018-06
6.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,코엑스,3827.2,3.0,,5.0,4.0,2.0,1.0,3.0,4.0,7.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,,,,2.0,2018-07
2.0,1.0,2.0,11.0,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,신촌/홍대주변,동대문 패션타운,744.8052696,1.0,,5.0,3.0,1.0,1.0,2.0,4.0,8.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,2.0,2018-08
1.0,4.0,5.0,,3.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,종로/청계,365.5,,1.0,4.0,3.0,1.0,1.0,1.0,4.0,9.0,2.0,1.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,,,,4.0,,1.0,2018-09
1.0,5.0,3.0,4.0,1.0,2.0,,1.0,,,,,,,,9.0,,,,,,,16.0,,춘천 (남이섬),[제주],명동/남대문/북창,775.0,,3.0,4.0,2.0,1.0,1.0,1.0,4.0,10.0,2.0,2.0,6.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,2.0,,,,1.0,2018-10
3.0,2.0,5.0,6.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,여의도 (63빌딩),신촌/홍대주변,명동/남대문/북창,4499.349999999999,2.0,,5.0,4.0,1.0,1.0,2.0,4.0,12.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,,,2.0,2018-12
1.0,2.0,4.0,6.0,1.0,1.0,10.0,1.0,,,,,,,8.0,,,,,,,,,,스키장 (지산/양지/베어스타운/곤지암),명동/남대문/북창,신촌/홍대주변,1990.43,2.0,,5.0,4.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,,2.0,,,,1.0,2018-02
